"dateTime","value","day","weekendFlag","hours","TimeFrame"
2018-07-08,310,"Sunday",1,5.17,"Post"
2018-07-09,204,"Monday",0,3.4,"Post"
2018-07-10,345,"Tuesday",0,5.75,"Post"
2018-07-11,398,"Wednesday",0,6.63,"Post"
2018-07-12,407,"Thursday",0,6.78,"Post"
2018-07-13,452,"Friday",0,7.53,"Post"
2018-07-14,498,"Saturday",1,8.3,"Post"
2018-07-15,399,"Sunday",1,6.65,"Post"
2018-07-16,311,"Monday",0,5.18,"Post"
2018-07-17,511,"Tuesday",0,8.52,"Post"
